Cod,Tara,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
ARG,Argentina,-2.799,1.618,-1.592,-0.200,0.677,-0.154,-0.500,-0.675,-0.015
AUT,Austria,2.285,-0.225,0.204,0.105,0.376,0.262,-0.489,0.134,-0.014
BGR,Bulgaria,-1.419,0.269,2.003,-0.430,-0.723,-0.168,0.228,-0.795,-0.083
CHL,Chile,-0.846,0.572,-0.916,-0.614,0.121,0.115,-0.176,0.093,0.058
COL,Columbia,-3.698,0.607,-0.601,0.264,0.663,0.022,-0.224,0.095,-0.094
CRI,Costa Rica,-0.564,-1.276,0.332,-0.761,0.516,0.509,-0.061,-0.388,0.135
HRV,Croatia,-0.774,-2.015,-2.806,-0.248,-0.491,-0.346,0.263,-0.153,0.150
CZE,Cehia,0.782,1.523,1.467,-0.581,0.156,-0.817,0.236,0.258,0.043
EST,Estonia,0.560,1.203,0.516,-0.688,-0.310,-0.172,0.340,0.127,0.044
FRA,Franta,1.987,-0.919,0.460,0.138,-0.262,0.045,-0.275,0.177,-0.017
DEU,Germania,2.626,0.105,0.084,0.383,-0.120,-0.327,-0.592,-0.113,-0.000
GRC,Grecia,-0.108,-0.676,-0.392,-0.209,-0.870,-0.570,-0.290,0.289,0.048
GTM,Guatemala,-3.524,-2.680,1.245,0.167,1.273,-0.031,0.435,0.175,-0.054
HKG,Hong Kong,-0.003,0.939,-1.481,0.865,-1.301,0.208,0.741,0.114,0.013
ISL,Islanda,3.481,0.790,0.436,0.458,0.712,0.250,-0.127,-0.004,-0.015
IND,India,-6.328,0.198,1.278,1.982,0.128,-0.148,-0.234,0.040,0.067
ISR,Israel,2.662,-0.509,0.425,-0.435,0.381,-0.218,-0.002,0.172,0.058
ITA,Italia,0.874,-1.309,0.454,0.362,-0.188,-0.290,-0.740,0.605,-0.027
JPN,Japonia,0.980,-0.075,0.061,0.587,-0.548,-0.220,-0.176,0.334,-0.004
MYS,Malaysia,-0.825,0.638,0.293,-0.830,-0.096,1.244,0.312,0.021,-0.042
MEX,Mexic,-1.883,-0.595,-0.014,-0.107,0.862,0.256,-0.277,0.084,-0.019
MDA,Moldova,-2.090,-2.096,-0.353,-0.095,-0.284,-0.785,0.288,0.109,0.059
NOR,Norvegia,2.575,-0.030,-1.469,-0.074,0.247,-0.134,0.432,-0.129,-0.361
PRY,Paraguay,-2.110,-1.443,0.316,-0.382,0.056,0.821,-0.003,-0.053,-0.062
PER,Peru,-3.051,-0.056,-0.221,0.142,0.113,-0.079,0.023,0.127,-0.016
PHL,Filipine,-3.497,-0.322,1.896,0.156,0.199,-0.830,0.456,0.234,-0.049
POL,Polonia,-0.276,0.511,-0.691,-0.144,-0.137,-0.442,-0.502,-0.037,-0.061
ROU,Romania,-0.510,-0.279,0.009,-0.903,0.218,0.021,0.338,0.145,0.063
RUS,Rusia,-0.792,0.598,0.132,-0.563,-0.812,0.136,-0.171,-0.254,-0.015
SVK,Slovacia,0.159,1.251,1.288,-0.936,-0.110,-0.008,0.305,0.142,0.012
ZAF,Africa de Sud,-2.674,0.060,0.811,0.616,-0.158,0.260,-0.096,-0.453,0.058
KOR,Coreea de Sud,0.637,0.826,-0.892,0.211,-0.703,0.392,0.091,0.001,0.065
THA,Thailanda,-1.689,-0.481,-0.256,-0.563,-0.115,0.839,0.414,0.377,-0.004
TUR,Turcia,-5.019,2.432,-2.183,0.909,-0.124,0.251,0.184,0.460,-0.003
UKR,Ucraina,-2.681,0.871,-0.286,0.147,-0.648,-0.070,-0.428,-0.413,-0.051
URY,Uruguay,-0.077,-0.827,-0.079,-0.735,0.159,0.765,-0.086,0.004,0.142
VEN,Venezuela,-2.704,-1.406,0.557,0.036,-0.641,-0.552,-0.254,-0.595,-0.048
BEL,Belgia,2.577,-0.735,-0.331,-0.023,-0.321,0.024,-0.350,0.020,0.027
SGP,Singapore,2.075,0.745,0.517,1.264,0.097,0.303,1.155,0.147,-0.040
FIN,Finlanda,2.401,-0.667,-1.667,-0.180,0.900,-0.482,-0.105,-0.122,0.145
LVA,Letonia,0.212,1.113,0.629,-0.852,-0.556,-0.065,0.185,-0.036,0.025
NZL,Noua Zeelanda,2.157,1.028,0.003,-0.016,0.302,-0.159,0.086,-0.045,-0.056
HUN,Ungaria,-0.440,1.452,1.037,-0.511,-0.246,0.220,-0.155,0.167,-0.039
PRT,Portugalia,0.096,-1.026,0.137,-0.087,-0.564,0.305,-0.489,0.450,-0.034
NDL,Tarile de Jos,2.496,0.179,-0.407,0.308,0.600,-0.331,0.102,-0.054,0.060
SWE,Suedia,2.673,-1.191,-0.924,-0.224,0.119,-0.625,0.116,0.069,-0.189
CAN,Canada,1.552,1.411,0.025,0.263,0.398,-0.241,0.211,0.073,0.148
LTU,Lithuania,0.495,1.052,0.633,-0.908,-0.001,-0.550,0.261,0.085,0.074
ESP,Spania,1.614,-0.570,-0.056,-0.033,-0.334,0.626,-0.762,0.190,-0.043
GBR,Regatul Unit,2.083,1.324,0.613,0.274,0.163,0.168,-0.502,-0.120,-0.043
IND,Indonezia,-3.156,-2.252,-0.200,0.140,-0.321,0.009,0.325,-0.035,-0.023
BRA,Brazilia,-3.098,0.758,-0.825,-0.153,1.055,0.299,-0.109,-0.053,-0.041
IRL,Irlanda,2.740,0.664,0.752,0.211,-0.042,0.053,-0.553,0.088,-0.036
CHE,Elvetia,5.698,-1.908,0.943,1.518,-0.239,0.701,0.235,-0.322,0.050
AUS,Australia,2.098,1.436,-0.193,0.429,0.455,-0.220,0.035,-0.069,0.031
DNK,Danemarca,3.627,-0.983,-0.886,-0.385,0.076,-0.056,0.627,-0.272,-0.099
USA,Statele Unite,2.430,0.379,0.164,0.933,0.242,-0.013,0.303,-0.416,0.121
